word,entity_group,frequency,word_lower,mean_tfidf,freq_normalized,combined_score
bank sentral,ORG,8,bank sentral,0.0,0.004632310364794441,0.0023161551823972205
enam,CRD,8,enam,0.0,0.004632310364794441,0.0023161551823972205
teknologi,PRD,8,teknologi,0.0,0.004632310364794441,0.0023161551823972205
rp juta,MON,8,rp juta,0.0,0.004632310364794441,0.0023161551823972205
google,ORG,8,google,0.0,0.004632310364794441,0.0023161551823972205
nikel,PRD,8,nikel,0.0,0.004632310364794441,0.0023161551823972205
lpg,PRD,8,lpg,0.0,0.004632310364794441,0.0023161551823972205
texas,GPE,8,texas,0.0,0.004632310364794441,0.0023161551823972205
wall street,ORG,8,wall street,0.0,0.004632310364794441,0.0023161551823972205
menteri perdagangan as,NOR,8,menteri perdagangan as,0.0,0.004632310364794441,0.0023161551823972205
brussels,GPE,8,brussels,0.0,0.004632310364794441,0.0023161551823972205
hs,PRD,8,hs,0.0,0.004632310364794441,0.0023161551823972205
trudeau,PER,7,trudeau,0.0,0.004053271569195136,0.002026635784597568
ursula von der leyen,PER,7,ursula von der leyen,0.0,0.004053271569195136,0.002026635784597568
cpo,PRD,7,cpo,0.0,0.004053271569195136,0.002026635784597568
bps,ORG,7,bps,0.0,0.004053271569195136,0.002026635784597568
argentina,GPE,7,argentina,0.0,0.004053271569195136,0.002026635784597568
arab,GPE,7,arab,0.0,0.004053271569195136,0.002026635784597568
liberation day,EVT,7,liberation day,0.0,0.004053271569195136,0.002026635784597568
kementerian perdagangan,NOR,7,kementerian perdagangan,0.0,0.004053271569195136,0.002026635784597568
presidenamerika serikat as,NOR,7,presidenamerika serikat as,0.0,0.004053271569195136,0.002026635784597568
pemerintahan presiden,NOR,7,pemerintahan presiden,0.0,0.004053271569195136,0.002026635784597568
lin jian,PER,7,lin jian,0.0,0.004053271569195136,0.002026635784597568
nvidia,ORG,7,nvidia,0.0,0.004053271569195136,0.002026635784597568
pdb,PRD,7,pdb,0.0,0.004053271569195136,0.002026635784597568
bank indonesia bi,ORG,7,bank indonesia bi,0.0,0.004053271569195136,0.002026635784597568
us triliun,MON,7,us triliun,0.0,0.004053271569195136,0.002026635784597568
btc,PRD,7,btc,0.0,0.004053271569195136,0.002026635784597568
dollar as,MON,7,dollar as,0.0,0.004053271569195136,0.002026635784597568
dpr,NOR,7,dpr,0.0,0.004053271569195136,0.002026635784597568
dua tahun,QTY,7,dua tahun,0.0,0.004053271569195136,0.002026635784597568
